URL,Title,Author,Number of reviews,Number of ratings,Average rating,Pages,Publish year,Series,Genres,Awards,Places,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com//book/show/18187139-disappearance,Disappearance,Trevor James Zaple,9,17,3.29,291,2013,0,,,"Toronto, Ontario",4.87,-0.95
https://www.goodreads.com//book/show/17897554-postapoc,Postapoc,Liz Worth,23,66,3.73,184,2013,0,"Fiction, Science Fiction",,,6.19,0.37
https://www.goodreads.com//book/show/15818027-the-sity,The Sity,Curran Geist,15,40,3.68,384,2012,1,Science Fiction,,,6.04,0.22
https://www.goodreads.com//book/show/20256771-tolomay-s-world-the-splitting-of-the-trunk,Tolomay's World The Splitting of The Trunk,M.E. Lorde,7,12,4.58,378,2013,1,,,,8.74,2.92
https://www.goodreads.com//book/show/19482487-a-wicked-hunger,A Wicked Hunger,Kiersten Fay,185,683,3.7,not known,2014,1,"Fantasy, Paranormal, Romance",,,6.1,0.28
https://www.goodreads.com//book/show/21483545-last-light-falling,Last Light Falling,J.E. Plemons,65,100,3.88,336,2014,1,"Fantasy, Science Fiction, Dystopia",,,6.64,0.82
https://www.goodreads.com//book/show/22845686-the-genetic-lottery,The Genetic Lottery,Allison Goh,11,52,3.69,92,2014,1,"Science Fiction, Science Fiction, Dystopia",,,6.07,0.25
https://www.goodreads.com//book/show/25971716-the-treemakers,The Treemakers,Christina L. Rozelle,189,528,4.24,374,2015,1,"Science Fiction, Dystopia, Science Fiction",,,7.72,1.9
https://www.goodreads.com//book/show/25979296-caligatha,Caligatha,Matt Spire,11,88,4.11,369,2015,0,"Science Fiction, Science Fiction, Dystopia",,,7.33,1.51
https://www.goodreads.com//book/show/25983204-the-scientist,The Scientist (Omnibus),Ryan Michael,17,39,3.62,219,2015,0,Science Fiction,,,5.86,0.04
https://www.goodreads.com//book/show/34227144-the-crimson-throne,The Crimson Throne,Christi Stallard,18,42,4.05,322,2017,0,"Fantasy, Fantasy, Paranormal",,,7.15,1.33
https://www.goodreads.com//book/show/35831195-magium,Magium: The Mage Tournament (Book 1),Chris Michael Wilson,23,271,3.92,377,2017,0,"Fantasy, Adventure, Gamebooks",,,6.76,0.94
https://www.goodreads.com//book/show/39674665-mars-base-1,Mars Base 1: A new discovery!,Bruce   Walker,6,7,4.71,not known,2018,0,,,,9.13,3.31
